State,year,pollutant,bin,State_abbr
Iowa,2014,5.6681344751043897e-05,1,IA
Missouri,2016,2.3906342620035571e-05,1,MO
Florida,2000,4.8452511505452133e-05,1,FL
Pennsylvania,2000,0.00020295909328958944,3,PA
New Hampshire,2002,0.00012130225586611459,2,NH
South Carolina,2003,8.4091481746599825e-05,2,SC
Colorado,2003,4.7350572588098225e-05,1,CO
Virginia,2006,0.00012351278759205133,2,VA
Kansas,2010,3.36948298984591e-05,1,KS
Ohio,2010,3.5169166805423107e-05,1,OH
Georgia,2010,2.6323050379572125e-05,1,GA
Delaware,2011,0.00042343650793650787,7,DE
New Mexico,2011,9.2682302831659141e-05,2,NM
North Carolina,2012,3.6429441170013342e-05,1,NC
Kansas,2012,4.4967112693318305e-05,1,KS
South Dakota,2013,0.00015743684648071246,3,SD
New Jersey,2013,8.22391704124198e-05,2,NJ
Connecticut,2013,0.00034475797131055635,6,CT
New Mexico,2013,9.3656074057392162e-05,2,NM
New York,2014,1.47574867397388e-05,1,NY
New York,2015,1.4575416885059283e-05,1,NY
Delaware,2016,0.00042642271993543178,7,DE
California,2004,0.00047846450245509755,7,CA
Illinois,2008,4.9581348381224576e-05,1,IL
Idaho,2009,0.0001251143451143451,2,ID
North Dakota,2010,6.7659930630977849e-05,1,ND
Indiana,2012,4.7556528994576533e-05,1,IN
Oklahoma,2012,0.00016843823344243571,3,OK
Maryland,2013,0.00011640295808904244,2,MD
Delaware,2013,0.00049051990540007872,8,DE
Indiana,2014,3.6672189366918621e-05,1,IN
Pennsylvania,2014,0.00011317570161736463,2,PA
Maryland,2015,0.00019356268146930963,3,MD
Oklahoma,2002,0.00015841869091511715,3,OK
Massachusetts,2004,4.1140534109764868e-05,1,MA
New Jersey,2006,4.146498748878712e-05,1,NJ
Michigan,2007,2.3307436182019979e-05,1,MI
South Carolina,2007,8.4992741006384117e-05,2,SC
Pennsylvania,2012,0.0001059077699394832,2,PA
Indiana,2000,3.9603349152758314e-05,1,IN
Illinois,2001,4.7500330861555929e-05,1,IL
Massachusetts,2003,3.7894112561130481e-05,1,MA
Nevada,2003,0.00040976243588214238,6,NV
Colorado,2005,8.7637162261090484e-05,2,CO
Oklahoma,2007,8.907342743602667e-05,2,OK
New York,2010,5.6613827717527861e-05,1,NY
South Carolina,2010,8.5509865146167052e-05,2,SC
Kentucky,2013,1.8092161718547525e-05,1,KY
Arizona,2016,0.00016223086572916083,3,AZ
Tennessee,2003,5.9590099132409459e-05,1,TN
Iowa,2006,1.7202114279887147e-05,1,IA
Florida,2008,0.00010265053726931404,2,FL
Iowa,2009,5.5352121234094081e-05,1,IA
New York,2011,5.010952231128254e-05,1,NY
Missouri,2014,2.6022824466302215e-05,1,MO
Oregon,2015,5.125091324200912e-05,1,OR
Arizona,2015,0.00020882860853509944,4,AZ
Ohio,2016,4.7902102065863488e-05,1,OH
California,2003,0.00053798099601679386,8,CA
Texas,2003,5.2134126368221543e-05,1,TX
Florida,2004,4.7904141962767944e-05,1,FL
New Jersey,2004,3.7176113124042507e-05,1,NJ
Maine,2011,0.00010235592386631387,2,ME
California,2011,0.00049603745830115826,8,CA
New Jersey,2014,8.03409572230037e-05,2,NJ
Oklahoma,2015,8.8473468467243274e-05,2,OK
Hawaii,2015,0.00024753097865412425,4,HI
Kentucky,2015,2.7935906062849066e-05,1,KY
South Dakota,2015,6.09729463826284e-05,1,SD
Oklahoma,2016,4.3318371872762131e-05,1,OK
Texas,2016,8.8295270126039586e-05,2,TX
Utah,2016,5.280801209372637e-05,1,UT
Louisiana,2016,5.4125990379173732e-05,1,LA
Maryland,2016,0.00018892379113123221,3,MD
South Carolina,2016,7.811168431532264e-05,2,SC
North Carolina,2001,8.8351677591957134e-05,2,NC
New York,2002,2.90827812824965e-05,1,NY
Missouri,2003,5.9769067905136995e-05,1,MO
Oklahoma,2003,0.00017907927670847244,3,OK
Pennsylvania,2004,0.00020182482646081897,3,PA
New Mexico,2014,8.7488304105087737e-05,2,NM
Tennessee,2016,6.8528140906339e-05,1,TN
New York,2016,1.4707048984365665e-05,1,NY
Kentucky,2003,7.7854848500781535e-05,2,KY
New York,2004,2.8933277737667573e-05,1,NY
Pennsylvania,2005,0.0002414423854418972,4,PA
Massachusetts,2006,3.4773652202498348e-05,1,MA
New Hampshire,2008,0.00011023255712541427,2,NH
Oklahoma,2009,0.00015158948627630033,3,OK
North Carolina,2010,3.6937135635072539e-05,1,NC
Connecticut,2012,0.0004477314032643209,7,CT
Arkansas,2014,3.8346474034268634e-05,1,AR
Louisiana,2015,4.7481468298109012e-05,1,LA
Alabama,2016,4.829258086276482e-05,1,AL
Kansas,2001,8.05270162318201e-05,2,KS
Nevada,2002,0.00040808606464094689,6,NV
New York,2003,2.8712647123529851e-05,1,NY
Maine,2008,9.8076936150242979e-05,2,ME
Virginia,2011,0.00011665772673120635,2,VA
New York,2013,1.510998046118957e-05,1,NY
Connecticut,2014,0.00033917226306517039,5,CT
Illinois,2014,3.6877619829023529e-05,1,IL
Tennessee,2015,6.777723760438514e-05,1,TN
Colorado,2001,3.9942071271180009e-05,1,CO
New York,2001,2.7793441981277189e-05,1,NY
Louisiana,2002,4.2414766608923651e-05,1,LA
Illinois,2006,3.1949789387714255e-05,1,IL
Connecticut,2007,0.000322220983470683,5,CT
New Jersey,2008,4.4507899064002032e-05,1,NJ
Louisiana,2008,4.37394399954884e-05,1,LA
Oregon,2013,4.58101851851852e-05,1,OR
Oregon,2014,5.439160888305849e-05,1,OR
Kentucky,2014,2.4181309099574323e-05,1,KY
Rhode Island,2015,0.00041105864632237871,6,RI
Georgia,2015,3.0518240205523435e-05,1,GA
New Jersey,2000,3.4373784365175049e-05,1,NJ
Colorado,2002,5.0254112204105474e-05,1,CO
New Hampshire,2003,0.00011488615216201424,2,NH
Michigan,2004,5.748672015186674e-05,1,MI
Missouri,2005,6.7648934698482472e-05,1,MO
Michigan,2006,6.005657217768156e-05,1,MI
South Carolina,2008,8.0917960719306312e-05,2,SC
Colorado,2008,8.869869918699187e-05,2,CO
Virginia,2008,0.00012673763422857876,2,VA
Maine,2009,9.6518975685532489e-05,2,ME
North Carolina,2009,3.37080178339216e-05,1,NC
Tennessee,2009,6.9769838459077832e-05,2,TN
Illinois,2010,6.1236013641962134e-05,1,IL
Nevada,2011,0.0002662017089380171,4,NV
Colorado,2012,0.00021087564226267286,4,CO
New Mexico,2012,9.0553733616356409e-05,2,NM
Hawaii,2014,0.000249703635620915,4,HI
Maryland,2014,0.00019133515955014542,3,MD
California,2014,0.00047339570089889485,7,CA
Nevada,2016,0.0002241699669966997,4,NV
California,2008,0.00058805336516861491,9,CA
South Carolina,2009,7.6061566266154439e-05,2,SC
California,2010,0.00050256530364050527,8,CA
Idaho,2010,9.6873433048433056e-05,2,ID
Virginia,2014,0.00010586974058493637,2,VA
Minnesota,2014,3.0677224861003723e-05,1,MN
Texas,2015,8.3665231338627988e-05,2,TX
Connecticut,2015,0.00034858837506729909,6,CT
California,2000,0.00045129795475538264,7,CA
Missouri,2001,0.00014498770169367125,3,MO
Illinois,2002,5.0644236131124221e-05,1,IL
Louisiana,2006,9.4208741974871019e-05,2,LA
Arkansas,2007,3.9775953146531921e-05,1,AR
New Jersey,2007,4.0956761199185294e-05,1,NJ
Arkansas,2009,3.9368471127163811e-05,1,AR
Arkansas,2010,4.4453247811718489e-05,1,AR
Ohio,2011,4.7198692850915866e-05,1,OH
Nevada,2013,0.00027838461759219392,5,NV
Arkansas,2015,3.9123683792092154e-05,1,AR
Ohio,2015,4.459298690434424e-05,1,OH
Missouri,2015,2.145587181706917e-05,1,MO
Louisiana,2000,4.7895062136435755e-05,1,LA
Kentucky,2001,0.00021355957556892238,4,KY
Michigan,2002,6.332569403388377e-05,1,MI
Connecticut,2006,9.6614879414298036e-05,2,CT
Indiana,2006,3.2180270237221815e-05,1,IN
Wisconsin,2007,1.9513427003658131e-05,1,WI
Florida,2010,5.3287869132173234e-05,1,FL
Utah,2011,0.00010718816778789078,2,UT
Arizona,2011,0.00019723593806068648,3,AZ
South Dakota,2012,8.0080922490029466e-05,2,SD
Hawaii,2012,0.00025262146385616097,4,HI
Massachusetts,2012,4.0859679961707636e-05,1,MA
Virginia,2012,0.00014182909863783081,3,VA
Kansas,2002,8.4032252348127377e-05,2,KS
Florida,2006,5.385881817722287e-05,1,FL
Maryland,2006,7.5878732574300519e-05,2,MD
New Jersey,2012,8.8580420128832354e-05,2,NJ
North Carolina,2014,6.9844835591630953e-05,2,NC
North Dakota,2016,6.6157780838087735e-05,1,ND
Kansas,2003,8.5535308198042215e-05,2,KS
Illinois,2003,3.2305487896356579e-05,1,IL
Indiana,2004,4.039947552447552e-05,1,IN
Texas,2006,5.2890575957176012e-05,1,TX
Missouri,2008,2.9491648171378952e-05,1,MO
Florida,2009,5.2535696865589354e-05,1,FL
North Dakota,2011,6.5442708023553226e-05,1,ND
Oklahoma,2011,0.00018281270962858262,3,OK
Louisiana,2012,5.0361119945479331e-05,1,LA
Oregon,2012,5.4960423096707811e-05,1,OR
Florida,2012,4.9634494787570832e-05,1,FL
Virginia,2013,0.00013201799215294835,2,VA
Ohio,2013,4.5350871198560014e-05,1,OH
Illinois,2013,3.6736772517061593e-05,1,IL
Wyoming,2014,0.000411532582699313,6,WY
Kansas,2015,3.9558355428387537e-05,1,KS
Arizona,2000,0.00025666243221224533,4,AZ
Indiana,2005,4.3625686574930619e-05,1,IN
California,2007,0.0005491819726190435,8,CA
Pennsylvania,2009,0.00011212638914458917,2,PA
Maryland,2010,6.4919722477772628e-05,1,MD
Illinois,2012,6.3658995197219046e-05,1,IL
Ohio,2012,3.7824768725559176e-05,1,OH
Georgia,2013,3.12847216504277e-05,1,GA
Maine,2014,0.00010300914642948251,2,ME
Pennsylvania,2016,5.988915527809953e-05,1,PA
Louisiana,2003,4.2276164874551965e-05,1,LA
Colorado,2004,4.1956275332432631e-05,1,CO
Kansas,2005,8.2656369100208069e-05,2,KS
South Carolina,2006,8.7999185446646709e-05,2,SC
Maryland,2007,0.00011314149570845859,2,MD
Massachusetts,2007,3.6523336275567467e-05,1,MA
Maine,2007,5.5224417307747296e-05,1,ME
Kansas,2011,3.4297080454646757e-05,1,KS
New Jersey,2015,8.3326573961935e-05,2,NJ
Rhode Island,2016,0.00045540402747060865,7,RI
Texas,2000,4.8749269005650461e-05,1,TX
Michigan,2000,2.5915851357191046e-05,1,MI
Louisiana,2001,4.6326052867383509e-05,1,LA
Louisiana,2004,4.4822564074237737e-05,1,LA
Connecticut,2008,0.00028262171481564286,5,CT
Florida,2011,5.1902229186675421e-05,1,FL
Oklahoma,2014,0.00010014282769845156,2,OK
Colorado,2016,0.0001535511427186133,3,CO
Illinois,2000,4.0377135874557492e-05,1,IL
Oklahoma,2000,0.00012784914265631916,2,OK
New Jersey,2001,6.7962586685056545e-05,1,NJ
Pennsylvania,2002,0.00023350268564503211,4,PA
California,2006,0.00048465680004215056,8,CA
Tennessee,2010,8.00396916420128e-05,2,TN
Minnesota,2011,3.3476498829386837e-05,1,MN
Arkansas,2011,4.414997136942254e-05,1,AR
Utah,2012,0.00047826764899648789,7,UT
Kansas,2013,3.9323115262272819e-05,1,KS
Missouri,2013,2.5034492457326746e-05,1,MO
Hawaii,2013,0.00029398895752583978,5,HI
Delaware,2014,0.00044385410101354229,7,DE
Washington,2014,6.0439900153609835e-05,1,WA
Pennsylvania,2015,7.4420025039072292e-05,2,PA
Utah,2015,0.00011005481837003577,2,UT
New Hampshire,2016,0.00012559907183212269,2,NH
Florida,2002,4.274543319813362e-05,1,FL
North Carolina,2003,8.2318752517008051e-05,2,NC
New Hampshire,2007,0.00011350858350586607,2,NH
New Hampshire,2009,8.8482665776591014e-05,2,NH
Texas,2010,0.00011623517284053296,2,TX
Maine,2010,0.00010989213360946237,2,ME
Oregon,2010,4.9532691210045661e-05,1,OR
North Carolina,2011,3.8075568943538214e-05,1,NC
Hawaii,2011,0.0002820726651401609,5,HI
Iowa,2015,5.8963998549131054e-05,1,IA
Kentucky,2002,0.00011171492628761997,2,KY
Michigan,2005,6.618697944131121e-05,1,MI
New York,2006,2.9885815003232043e-05,1,NY
Kansas,2006,9.2128531810984975e-05,2,KS
North Carolina,2007,3.8302279802398035e-05,1,NC
Indiana,2009,3.4481458107945679e-05,1,IN
Minnesota,2012,4.2628189550425275e-05,1,MN
Florida,2014,4.80115979909799e-05,1,FL
Washington,2016,3.2058954393770852e-05,1,WA
Arkansas,2016,4.181606657008587e-05,1,AR
California,2005,0.0004485553260817289,7,CA
North Dakota,2008,6.3510122061246846e-05,1,ND
Massachusetts,2008,4.0460279376401613e-05,1,MA
Texas,2009,9.8330330791908868e-05,2,TX
Georgia,2011,3.648609908609909e-05,1,GA
Massachusetts,2014,4.217744741323336e-05,1,MA
Alabama,2015,4.0885803520726849e-05,1,AL
Nevada,2015,0.00031184388232145962,5,NV
North Carolina,2002,9.9251595009752924e-05,2,NC
Michigan,2003,6.029352220789875e-05,1,MI
Pennsylvania,2008,0.00025137894066245284,4,PA
Connecticut,2009,0.00027504009798718406,4,CT
California,2009,0.00052084483537935566,8,CA
Louisiana,2010,5.099113588595448e-05,1,LA
Pennsylvania,2011,0.00010821931067386762,2,PA
Indiana,2013,3.9147220001024305e-05,1,IN
California,2013,0.00048804297450571148,8,CA
Alabama,2013,2.06113095565203e-05,1,AL
Texas,2014,0.00010450567869656175,2,TX
Georgia,2014,3.1832089352594967e-05,1,GA
Virginia,2000,0.00010623030726836873,2,VA
Arizona,2001,0.00023153145489812662,4,AZ
Indiana,2002,4.7215061918218085e-05,1,IN
New Jersey,2002,7.8002884823057871e-05,2,NJ
Missouri,2004,5.3081482196275214e-05,1,MO
Arizona,2005,0.00024986073892894155,4,AZ
Missouri,2006,2.977486217442971e-05,1,MO
Virginia,2010,0.0001089212591300278,2,VA
New York,2012,1.5076838823761191e-05,1,NY
Utah,2013,0.00030353080303425009,5,UT
Kansas,2014,3.9282433342788249e-05,1,KS
New Hampshire,2014,0.00010172427476737825,2,NH
North Dakota,2015,6.3148073290370733e-05,1,ND
Maine,2015,0.0001022828668263289,2,ME
Florida,2016,5.3898382060743683e-05,1,FL
Missouri,2000,0.00017278410795906751,3,MO
Michigan,2001,3.1151524760847738e-05,1,MI
Maine,2006,5.4861579439925148e-05,1,ME
Kansas,2007,3.6242647404526313e-05,1,KS
Louisiana,2013,4.76891353046595e-05,1,LA
Florida,2013,4.8020601839821216e-05,1,FL
Florida,2015,4.7430982643159765e-05,1,FL
Colorado,2000,4.1624430337454046e-05,1,CO
Oklahoma,2001,0.00017675853928792956,3,OK
Oklahoma,2004,0.00016640754439517752,3,OK
New York,2005,2.9450538479862406e-05,1,NY
Louisiana,2005,0.00010867755246884986,2,LA
New Hampshire,2006,0.00011337099773242629,2,NH
Wisconsin,2006,2.9744271388790142e-05,1,WI
Oregon,2007,4.5864865169552651e-05,1,OR
Virginia,2007,0.00014003957811122074,3,VA
Oklahoma,2008,0.00013364823342030676,2,OK
Ohio,2009,4.8478677560266417e-05,1,OH
Connecticut,2010,0.00042721957861575644,7,CT
New Hampshire,2010,0.00011750780324567638,2,NH
California,2012,0.00049862313572431331,8,CA
Massachusetts,2015,4.4350816128382215e-05,1,MA
Delaware,2015,0.00048090758493749529,7,DE
Massachusetts,2005,3.9606195215408339e-05,1,MA
Arizona,2006,0.00026633367428719579,4,AZ
Colorado,2007,0.00010561667730529499,2,CO
Massachusetts,2009,4.1671430991055949e-05,1,MA
Louisiana,2009,4.52115986060227e-05,1,LA
Colorado,2010,5.5986706166589975e-05,1,CO
Indiana,2010,3.9162170719351574e-05,1,IN
Oregon,2011,4.834561820652176e-05,1,OR
New Jersey,2011,3.7772852133255414e-05,1,NJ
North Dakota,2014,6.93317904892604e-05,2,ND
Minnesota,2015,3.1731593511365758e-05,1,MN
Virginia,2015,0.00010649328028235162,2,VA
Virginia,2016,2.6887206572769952e-05,1,VA
Texas,2001,4.9749294858306717e-05,1,TX
California,2002,0.00055536697445303666,9,CA
Florida,2005,4.9841083092271378e-05,1,FL
North Carolina,2006,4.2134229157636165e-05,1,NC
Florida,2007,0.00010503513178425477,2,FL
Iowa,2007,6.1342864331431537e-05,1,IA
New York,2008,4.5756246090011183e-05,1,NY
Tennessee,2008,6.33296518387077e-05,1,TN
Arizona,2009,0.00027708863611188912,5,AZ
Oklahoma,2010,0.00010063658552141548,2,OK
Colorado,2011,6.7915579890492778e-05,1,CO
Washington,2013,3.0568766346992154e-05,1,WA
California,2015,0.00046340056972804565,7,CA
